name,time,length,WPM,TER,NCER
cx,191.139465,136,8.538268,0.08088235294117647,0.029411764705882353
cyl,314.8876,150,5.71632528,0.3933333333333333,0.013333333333333334
dyh,170.545944,129,9.076733,0.07751937984496124,0.007751937984496124
fjy,246.792847,145,7.05044746,0.15862068965517243,0.0
lhz,195.0981,165,10.1487408,0.28484848484848485,0.1393939393939394
ljh,122.4138,141,13.8219709,0.04964539007092199,0.0
lyc,220.745056,154,8.371649,0.14285714285714285,0.012987012987012988
qym,314.731934,176,6.71047258,0.19886363636363635,0.017045454545454544
wzt,153.2395,142,11.1198483,0.08450704225352113,0.0
zby,146.32901,150,12.3010464,0.08,0.013333333333333334
zzc,193.852219,137,8.480687,0.16058394160583941,0.058394160583941604
