name,time,length,WPM,TER,NCER
cx,226.276459,162,8.591261,0.05555555555555555,0.012345679012345678
cyl,296.703247,170,6.87555647,0.13529411764705881,0.011764705882352941
dyh,144.863113,142,11.7628288,0.04929577464788732,0.02112676056338028
fjy,170.097443,130,9.171214,0.11538461538461539,0.015384615384615385
lhz,213.713257,140,7.86100054,0.2714285714285714,0.007142857142857143
ljh,141.387009,145,12.3066473,0.14482758620689656,0.0
lyc,188.94072,153,9.717334,0.06535947712418301,0.032679738562091505
qym,279.362671,157,6.74392176,0.1910828025477707,0.012738853503184714
zby,170.568069,140,9.849441,0.17142857142857143,0.0
zzc,207.647034,149,8.610765,0.040268456375838924,0.0
