name,time,length,WPM,TER,NCER
cx,209.675171,141,8.069625,0.0425531914893617,0.0070921985815602835
cyl,354.110168,163,5.52370453,0.25766871165644173,0.006134969325153374
dyh,204.72403,163,9.554325,0.15950920245398773,0.024539877300613498
fjy,165.36322,132,9.578914,0.015151515151515152,0.0
lhz,183.1643,142,9.30312252,0.11971830985915492,0.007042253521126761
ljh,160.247833,146,10.9330654,0.17123287671232876,0.0
lyc,220.35701,159,8.658676,0.06289308176100629,0.006289308176100629
qym,263.0337,157,7.16258049,0.10191082802547771,0.012738853503184714
zby,196.450577,161,9.834535,0.09937888198757763,0.006211180124223602
zzc,249.260757,137,6.595503,0.0364963503649635,0.0
